Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP
51145_MATH_child_SS.docx,1,657,7.6,40.06,67.02,63.38,59.73,3.81,91.48,88.13,68.04,22.22,17.66,10.2,1.67,4.87,0.15,0.3,4.57,24.96,3.04,17.05,6.54,13.09,3.96,4.87,0.91,27.85,6.7,20.85,3.04,2.28,0.76,0,11.11,0.91,9.44,1.83,1.37,2.13,1.37,0.3,3.5,0,3.35,3.04,0.3,0.3,0.15,0.15,0,0,0,0,8.37,0.3,0,0,0,0.15,0.15,8.07,0.61,0,0.76,0,0,0,0,0,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.61,2.89,0,0,0,0.46,0,0,13.55,6.85,0.76,2.44,1.83,2.28,0,0,3.04,0.91,5.48,3.65,4.11,0,2.28,1.83,0,5.78,0,0,1.52,0,4.26,0
51132_MATH_child_CK.docx,1,589,33.33,42.06,17.98,24.57,58.9,5.94,89.3,81.32,65.2,15.96,9.34,5.43,0.17,3.74,0,0,6.62,41.26,1.53,34.3,3.57,6.11,2.89,0.85,1.53,17.32,4.75,35.48,1.02,1.02,0,0,5.26,0.68,4.58,1.19,0.51,1.19,0.34,0.17,1.36,0,0.68,0.51,0.17,0.17,0.17,0,0,0,0,0,6.62,1.7,0,0,0,0.17,0.17,4.75,0.85,0,1.02,0,0,0,0,0,0.34,0.34,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0.68,0,1.19,0,0,0,0,0,0,6.11,12.56,1.53,1.19,3.23,6.96,0,0,1.87,3.06,4.07,0.68,1.19,0,1.02,0.17,0,3.74,0,0,1.53,0,2.21,0
51121_MATH_child_MISSING.docx,1,5887,35.04,31.6,11.61,38.13,89.2,3.09,87.14,83.46,65.65,13.06,8.22,5.01,0.59,2.34,0.02,0.25,4.84,42.79,2.14,34.16,4.16,5.76,4.28,2.94,1.89,12.91,5.37,35.88,1.09,0.65,0.41,0.05,6.49,2.38,3.99,0.7,0.24,1.07,0.44,0.46,1.26,0.03,2.34,1.77,0.53,1.09,0.92,0.15,0.07,0,0.03,0.03,4.79,1.12,0.32,0.37,0.08,0.12,0.58,3.74,0,0,0.15,0.25,0.02,0,0,0.02,0.27,0.22,0,0.02,0.03,0,0.71,0.2,0,0,0,0,0,0.1,0.12,1.02,0.17,1.65,0.03,0.12,0,0.19,0.25,0.03,7.25,7.41,0.15,1.63,3.06,2.87,0.07,0.17,0.97,2.87,3.06,1.36,6.93,0.27,1.99,4.86,0.02,3.45,0,0.02,1.1,0,2.33,0
51143_MATH_child_SS.docx,1,1173,24.1,17.56,38.69,60.41,78.2,3.75,77.15,71.95,52.09,16.2,10.66,7.33,0.34,2.47,0,0.51,5.54,23.27,2.3,14.75,5.03,7.76,4.69,2.05,2.47,18.24,6.56,16.97,2.13,1.11,0.68,0.34,9.38,2.98,6.31,1.96,1.02,1.53,0.85,0.51,1.71,0.09,3.75,3.07,0.51,1.19,0.77,0.26,0.09,0,0,0,5.46,1.28,0.43,0.34,0,0,0.43,4.18,0.6,0,0.6,0,0,0,0,0,0.6,0.34,0,0.09,0.17,0,0.77,0,0,0,0,0,0,0.17,0.09,0.85,0.26,1.71,0,0,0,0.51,0,0,9.55,9.55,1.02,1.36,3.92,3.84,0.09,0.26,1.79,1.71,4.77,2.47,5.03,0.34,2.81,2.05,0.17,4.52,0,0.09,1.19,0,3.24,0
51157_MATH_child_CK.docx,1,1258,2.18,72.52,43.72,48.03,19.06,3.66,92.37,79.41,59.54,22.81,16.93,8.43,1.59,6.36,0,0.32,5.88,17.73,1.67,11.37,4.37,15.74,5.72,3.18,1.83,24.24,6.12,12.96,3.26,2.86,0.64,0,11.53,4.53,7,0.95,1.03,1.75,2.07,0.48,1.59,0.08,2.15,1.99,0.16,1.19,1.19,0,0,0,0,0,10.33,0.79,0.08,0,0,0.08,0.24,9.54,0.87,0,0.87,0,0,0,0,0,1.27,1.27,0,0,0,0,0.16,0,0,0,0,0,0,0.16,0,1.03,0.24,1.19,0.16,0,0,0.16,0,0.48,18.76,7.31,0.32,2.7,3.18,1.83,0.16,0.08,2.15,1.19,12.64,2.78,10.1,0.48,7.79,1.91,0.4,11.45,0,0,5.17,0,6.28,0
51100_MATH_child_MM.docx,1,864,22.02,17.13,39.59,58.28,50.82,4.98,90.28,84.38,58.91,16.9,10.19,6.6,1.04,1.5,0.23,0.81,6.71,25.12,4.17,14.12,7.18,9.72,6.02,3.36,2.08,16.32,6.6,16.67,1.97,1.5,0.35,0.12,10.3,2.55,7.64,2.66,0.81,1.04,1.74,0.58,2.55,0.12,3.24,2.78,0.35,0.69,0.58,0,0,0,0,0,4.98,0.93,0.58,0.23,0,0.12,0.35,4.05,0.46,0,0.69,0,0,0,0,0,0.93,0.69,0.23,0,0,0,0.35,0,0,0,0,0,0,0.23,0,0.35,0,1.5,0.23,0,0,0.23,0,0.35,10.53,7.18,0.58,0.93,3.47,1.97,0.23,0.46,1.74,2.78,6.02,0.69,14.35,0,1.5,12.73,0.12,6.02,0,0,1.85,0,4.17,0
51147_MATH_child_CK.docx,1,1026,54.39,55.75,4.68,43.46,51.3,1.75,90.84,87.62,68.52,10.04,6.53,3.22,0.58,2.73,0,0,3.51,53.61,1.56,48.34,1.95,4.48,2.14,0.88,1.07,12.87,6.24,48.73,0.97,0.88,0.1,0,4.09,1.36,2.73,0.88,0.58,0.88,0.78,0.29,0.19,0,1.75,1.66,0.1,0.29,0.19,0,0,0,0,0,5.17,1.36,0.49,0.19,0,0.1,0.88,3.8,0.29,0,0.29,0,0,0,0,0,0.49,0.49,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0.29,1.56,0,0,0,0.1,0,0,6.92,4.58,0.1,1.07,1.27,2.24,0.1,0.1,3.12,1.36,2.05,1.75,8.38,0,3.41,4.78,0.19,3.51,0,0,1.85,0,1.66,0
51163_MATH_child_SS.docx,1,1723,10.37,27.69,51.18,40.68,52.21,3.6,86.83,80.91,62.8,20.84,14.8,8.88,1.8,3.66,0,0.35,6.04,29.95,2.67,20.26,5.17,9.81,4.76,2.21,3.42,22.23,4.7,22,3.37,2.03,1.33,0,8.47,3.13,5.34,1.04,0.87,1.68,0.41,0.06,1.57,0.17,2.09,1.68,0.29,0.29,0.23,0.06,0,0,0,0.12,7.66,1.33,0.17,0.17,0,0.12,0.64,6.27,0.23,0,0.23,0,0,0,0,0,1.1,0.41,0,0.41,0.23,0.06,0.52,0.06,0,0,0,0,0,0.12,0,1.1,0.41,1.28,0,0,0.06,0.46,0,0,10.8,12.01,0.75,2.67,3.6,4.82,0.12,0.23,2.21,2.32,6.79,1.74,2.38,0.35,1.33,0.93,0.06,7.66,0,0,1.86,0,5.8,0
51094_MATH_child_CK.docx,1,1118,16.29,34.46,80.7,73.39,124.22,2.42,90.34,80.41,61.63,18.52,14.58,9.21,1.16,3.76,0,0.45,3.94,28.98,3.58,19.05,4.83,9.12,5.99,2.5,1.79,21.38,6.44,21.82,3.31,1.97,1.16,0.18,9.39,2.5,6.71,3.22,2.24,0.89,0.54,0.18,1.25,0,4.03,3.58,0.18,0.98,0.72,0.18,0,0,0.18,0.18,8.05,1.52,0.81,0,0,0,0.63,6.53,0.81,0,0.72,0.36,0,0,0,0,1.97,1.79,0,0,0.18,0,0.54,0,0,0,0,0,0,0.09,0,0.36,0.45,1.97,0,0,0,1.16,0,0.09,14.13,9.21,0.72,4.65,2.24,2.06,0.09,0.45,3.22,0.81,7.51,1.97,4.03,0.63,3.58,0.36,0.09,5.64,0,0,0.72,0,4.92,0
51120_MATH_child_MM.docx,1,1093,13.2,29.89,20.3,63.46,47.52,6.77,94.51,89.75,64.87,16.65,11.25,6.22,0.91,4.03,0,0,5.4,36.05,1.56,27.54,4.12,8.69,3.66,2.84,5.12,17.38,6.95,29.64,4.3,2.01,2.29,0,11.89,6.95,4.94,1.01,1.1,0.82,0.73,0.55,1.46,0.27,3.66,3.2,0.46,0.37,0.27,0.09,0,0,0,0,8.14,2.1,1.01,0.09,0,0.18,0.27,6.04,1.01,0,1.01,0,0,0,0,0,0.55,0.46,0,0.09,0,0,0.09,0.09,0,0,0,0,0,0,0,0.73,0.09,1.92,0,0,0.09,1.74,0.09,0,13.08,4.94,0.09,1.19,1.46,2.2,0,0,3.02,3.57,5.22,1.56,12.26,0.09,4.94,7.23,0,7.14,0,0,2.01,0,4.67,0.46
