ID,game,speaker,coder,number,emotion,socbehav,affiliation
51084,EMPATHY,child,CK,13.33,4.44,3.33,1.11
51065,EMPATHY,child,MM,5.12,3.26,7.91,1.86
51073,EMPATHY,parent,CK,3.57,1.9,5.59,2.38
51083,EMPATHY,parent,CK,5.23,2.42,6.58,1.88
51016,EMPATHY,parent,MM,3.56,2.16,5.84,2.16
51084,EMPATHY,parent,CK,3.67,3.95,5.14,1.29
51057,EMPATHY,parent,CK,8.83,2.09,3.69,1.12
51072,EMPATHY,parent,SS,4.27,2.45,2.45,3.43
51067,EMPATHY,parent,SS,5.47,1.47,6.01,1.87
51035,EMPATHY,parent,CK,5.95,2.89,3.22,0.8
51014,EMPATHY,parent,MM,5.18,3.3,2.67,2.51
51091,EMPATHY,parent,MM,5.33,2.8,4.13,1.33
51065,EMPATHY,parent,MM,4.72,2.56,4.72,2.95
51026,EMPATHY,parent,SS,3.25,2.12,5.24,2.52
51017,EMPATHY,parent,SS,4.54,2.54,4.36,0.54
51062,EMPATHY,parent,MM,2.76,3.65,3.95,2.61
51021,EMPATHY,parent,SS,4.98,2.71,3.62,1.02
51043,EMPATHY,parent,CK,6.33,2.19,3.65,2.43
51088,EMPATHY,parent,CK,3.83,4.31,5.26,0.96
51033,EMPATHY,parent,SS,5.94,3.06,4.86,1.98
51080,EMPATHY,parent,MM,6.98,1.74,3.78,2.62
51008,EMPATHY,parent,SS,4.63,2.11,4.63,1.47
51034,EMPATHY,parent,SS,5.48,5.31,2.91,2.91
51023,EMPATHY,parent,CK,2.32,2.8,7.2,2.32
51005,EMPATHY,parent,SS,10.7,3.01,5.35,1.34
51046,EMPATHY,parent,MM,8.43,2.51,5.01,0.68
51011,EMPATHY,parent,CK,6.58,1.64,5.48,1.92
51079,EMPATHY,parent,MM,5.49,1.87,7.9,2.31
51048,EMPATHY,parent,MM,2.1,3.5,4.9,3.96
51049,EMPATHY,parent,SS,6.34,1.63,7.61,1.63
51082,EMPATHY,parent,SS,3.68,2.83,4.91,2.36
51013,EMPATHY,parent,CK,5.02,2.76,2.59,0.65
51032,EMPATHY,parent,MM,5.73,2.6,4.34,1.04
51004,EMPATHY,parent,SS,6.43,2.21,5.88,2.57
51022,EMPATHY,parent,CK,5.28,2.49,3.21,1.87
51081,EMPATHY,parent,SS,5.49,4.12,2.97,3.66
51009,EMPATHY,parent,SS,5.9,2.51,5.68,1.64
51086,EMPATHY,parent,SS,3.02,2.91,6.14,1.14
51088,MANNERS,child,CK,13.25,0,13.91,4.64
51022,MANNERS,child,CK,8.06,1.9,11.37,2.37
51005,MANNERS,child,SS,20.29,1.45,26.09,1.45
51081,MANNERS,child,SS,26.42,0,8.49,1.89
51021,MANNERS,child,SS,21.21,0,8.33,1.52
51091,MANNERS,child,MM,24.36,0.64,8.33,1.92
51084,MANNERS,child,CK,23.81,0,14.29,1.59
51065,MANNERS,child,MM,17.09,1.01,11.56,3.02
51033,MANNERS,child,SS,19.4,0.43,18.1,0.43
51079,MANNERS,child,MM,9.44,0.86,10.3,1.72
51009,MANNERS,child,SS,2.78,1.39,6.48,6.02
51067,MANNERS,child,SS,4.83,1.12,9.29,2.23
51017,MANNERS,child,SS,16,0.67,8.67,2.67
51013,MANNERS,child,CK,13.89,2.78,11.11,0
51034,MANNERS,child,SS,13.29,0,5.59,0.7
51082,MANNERS,child,SS,15.12,0,9.3,1.16
51052,MANNERS,child,SS,18.23,0.25,12.07,3.2
51046,MANNERS,child,MM,9.38,0,5,5
51011,MANNERS,child,CK,13.73,0.35,9.51,3.17
51023,MANNERS,child,CK,12,0.89,9.78,3.11
51083,MANNERS,child,CK,30.26,0,9.21,0
51035,MANNERS,child,CK,9.42,0.52,2.62,2.62
51077,MANNERS,child,CK,13.92,1.03,6.19,4.12
51004,MANNERS,child,SS,20.37,0.93,22.22,0
51080,MANNERS,child,MM,15.98,1.03,14.95,0.52
51048,MANNERS,child,MM,10.7,2.06,7.41,4.12
51072,MANNERS,child,SS,12.35,2.71,7.08,2.11
51014,MANNERS,child,MM,28.17,0.7,11.97,2.11
51055,MANNERS,child,CK,8.99,1.12,15.73,0
51026,MANNERS,child,SS,13.58,1.04,6.01,2.35
51043,MANNERS,child,CK,25.24,0.97,4.85,1.46
51032,MANNERS,child,MM,6.74,0.71,12.06,2.84
51073,MANNERS,child,CK,11,0.48,8.13,2.15
51016,MANNERS,child,MM,11.46,1.56,9.9,2.08
51057,MANNERS,child,CK,21.62,0,10.81,4.05
51008,MANNERS,child,SS,26.09,1.09,5.43,4.35
51009,MANNERS,parent,SS,7,0.4,8.85,3.3
51004,MANNERS,parent,SS,7.09,0.26,16.27,1.31
51032,MANNERS,parent,MM,5.75,0.47,11.66,3.73
51013,MANNERS,parent,CK,8.16,2.04,10.2,2.04
51081,MANNERS,parent,SS,14.81,2.78,7.41,2.78
51022,MANNERS,parent,CK,4.86,0.93,6.2,2.27
51057,MANNERS,parent,CK,13.35,1.86,9.32,3.42
51072,MANNERS,parent,SS,8.87,1.41,9.27,3.43
51082,MANNERS,parent,SS,10.88,1.26,12.55,2.93
51079,MANNERS,parent,MM,5.92,1.81,11.35,1.81
51048,MANNERS,parent,MM,7.16,1.19,7.76,2.39
51055,MANNERS,parent,CK,6.86,0.7,13.87,1.96
51011,MANNERS,parent,CK,9.59,0.38,9.77,3.01
51023,MANNERS,parent,CK,2.88,0.68,14.72,2.71
51034,MANNERS,parent,SS,10.34,0,7.33,4.31
51046,MANNERS,parent,MM,9.86,0.54,9.14,2.51
51005,MANNERS,parent,SS,21.14,1.14,4,0.57
51033,MANNERS,parent,SS,13.87,1.29,6.45,2.26
51008,MANNERS,parent,SS,9.75,0.68,7.48,1.59
51080,MANNERS,parent,MM,20.35,3.54,5.31,0
51088,MANNERS,parent,CK,9.41,0,9.41,3.53
51021,MANNERS,parent,SS,7.97,1.29,10.78,1.94
51043,MANNERS,parent,CK,12.7,0.79,9.26,3.17
51026,MANNERS,parent,SS,7.62,0.93,5.6,2.02
51065,MANNERS,parent,MM,5.25,4.01,6.48,2.47
51017,MANNERS,parent,SS,6.95,0.89,5.53,3.03
51014,MANNERS,parent,MM,7.29,0.4,6.07,1.21
51035,MANNERS,parent,CK,5.86,0.45,5.11,2.7
